관서명,살인 발생,살인 검거,강도 발생,강도 검거,강간 발생,강간 검거,절도 발생,절도 검거,폭력 발생,폭력 검거
중부서,2,2,3,2,105,65,"1,395",477,"1,355","1,170"
종로서,3,3,6,5,115,98,"1,070",413,"1,278","1,070"
남대문서,1,0,6,4,65,46,"1,153",382,869,794
서대문서,2,2,5,4,154,124,"1,812",738,"2,056","1,711"
혜화서,3,2,5,4,96,63,"1,114",424,"1,015",861
용산서,5,5,14,14,194,173,"1,557",587,"2,050","1,704"
성북서,2,2,2,1,86,71,953,409,"1,194","1,015"
동대문서,5,5,13,13,173,146,"1,981",814,"2,548","2,227"
마포서,8,8,14,10,294,247,"2,555",813,"2,983","2,519"
영등포서,14,12,22,20,295,183,"2,964",978,"3,572","2,961"
성동서,4,4,9,8,126,119,"1,607",597,"1,612","1,395"
동작서,5,5,9,5,285,139,"1,865",661,"1,910","1,587"
광진서,4,4,14,26,240,220,"3,026","1,277","2,625","2,180"
서부서,2,2,2,1,70,59,819,293,"1,192","1,038"
강북서,7,8,14,13,153,126,"1,434",618,"2,649","2,348"
금천서,3,4,6,6,151,122,"1,567",888,"2,054","1,776"
중랑서,13,12,11,9,187,148,"2,135",829,"2,847","2,407"
강남서,3,3,15,12,300,225,"2,411",984,"2,465","2,146"
관악서,9,8,12,14,320,221,"2,706",827,"3,298","2,642"
강서서,7,8,13,13,262,191,"2,096","1,260","3,207","2,718"
강동서,4,3,6,8,156,123,"2,366",789,"2,712","2,248"
종암서,3,3,3,3,64,53,832,332,"1,015",840
구로서,8,6,15,11,281,164,"2,335",889,"3,007","2,432"
서초서,7,4,8,5,334,193,"1,982",905,"1,852","1,607"
양천서,3,5,6,3,120,105,"1,890",672,"2,509","2,030"
송파서,11,10,13,10,220,178,"3,239","1,129","3,295","2,786"
노원서,10,10,7,7,197,121,"2,193",801,"2,723","2,329"
방배서,1,2,1,1,59,56,653,186,547,491
은평서,1,1,7,5,96,82,"1,095",418,"1,461","1,268"
도봉서,3,3,9,10,102,106,"1,063",478,"1,487","1,303"
수서서,10,7,6,6,149,124,"1,439",666,"1,819","1,559"
