,y,x,ID
0,0,7,철원
1,0,8,화천
2,0,9,양구
3,0,10,고성(강원)
4,1,3,양주
5,1,4,동두천
6,1,5,연천
7,1,6,포천
8,1,7,의정부
9,1,8,인제
10,1,9,춘천
11,1,10,속초
12,2,3,고양 덕양
13,2,4,고양 일산동
14,2,5,서울 도봉
15,2,6,서울 노원
16,2,7,남양주
17,2,8,홍천
18,2,9,횡성
19,2,10,양양
20,3,2,파주
21,3,3,고양 일산서
22,3,4,김포
23,3,5,서울 강북
24,3,6,서울 성북
25,3,7,가평
26,3,8,구리
27,3,9,하남
28,3,10,정선
29,3,11,강릉
30,4,2,부천 소사
31,4,3,안양 만안
32,4,4,광명
33,4,5,서울 서대문
34,4,6,서울 종로
35,4,7,서울 동대문
36,4,8,서울 중랑
37,4,9,양평
38,4,10,태백
39,4,11,동해
40,5,1,인천 강화
41,5,2,부천 원미
42,5,3,안양 동안
43,5,4,서울 은평
44,5,5,서울 마포
45,5,6,서울 중구
46,5,7,서울 성동
47,5,8,서울 강동
48,5,9,여주
49,5,10,원주
50,5,11,삼척
51,6,1,인천 서구
52,6,2,부천 오정
53,6,3,시흥
54,6,4,서울 강서
55,6,5,서울 동작
56,6,6,서울 용산
57,6,7,서울 광진
58,6,8,서울 송파
59,6,9,이천
60,6,10,평창
61,6,11,울진
62,7,1,인천 동구
63,7,2,인천 계양
64,7,3,안산 상록
65,7,4,서울 양천
66,7,5,서울 관악
67,7,6,서울 서초
68,7,7,성남 중원
69,7,8,과천
70,7,9,광주
71,7,10,영월
72,7,11,영덕
73,8,2,인천 부평
74,8,3,안산 단원
75,8,4,서울 영등포
76,8,5,서울 금천
77,8,6,서울 강남
78,8,7,성남 분당
79,8,8,성남 수정
80,8,9,용인 수지
81,8,10,문경
82,8,11,봉화
83,8,13,울릉
84,9,1,인천 중구
85,9,2,인천 남구
86,9,3,화성
87,9,4,서울 구로
88,9,5,군포
89,9,6,의왕
90,9,7,수원 영통
91,9,8,용인 기흥
92,9,9,용인 처인
93,9,10,안동
94,9,11,영양
95,10,0,인천 옹진
96,10,1,인천 연수
97,10,2,인천 남동
98,10,3,오산
99,10,4,안성
100,10,5,수원 권선
101,10,6,수원 장안
102,10,7,제천
103,10,8,예천
104,10,9,영주
105,10,10,구미
106,10,11,청송
107,10,12,포항 북구
108,11,0,태안
109,11,1,아산
110,11,2,천안 동남
111,11,3,천안 서북
112,11,4,평택
113,11,5,음성
114,11,6,수원 팔달
115,11,7,단양
116,11,8,상주
117,11,9,김천
118,11,10,군위
119,11,11,의성
120,11,12,포항 남구
121,12,1,당진
122,12,2,홍성
123,12,3,예산
124,12,4,공주
125,12,5,진천
126,12,6,충주
127,12,7,청주 흥덕
128,12,8,괴산
129,12,9,칠곡
130,12,10,영천
131,12,11,경산
132,12,12,경주
133,13,1,서산
134,13,2,보령
135,13,3,청양
136,13,4,세종
137,13,5,대전 대덕
138,13,6,증평
139,13,7,청주 청원
140,13,8,보은
141,13,9,고령
142,13,10,청도
143,13,11,성주
144,13,12,울산 북구
145,14,2,부여
146,14,3,논산
147,14,4,계룡
148,14,5,대전 동구
149,14,6,청주 상당
150,14,7,청주 서원
151,14,8,대구 북구
152,14,9,대구 중구
153,14,10,대구 수성
154,14,11,울산 울주
155,14,12,울산 동구
156,15,2,서천
157,15,3,금산
158,15,4,대전 유성
159,15,5,대전 중구
160,15,6,옥천
161,15,7,영동
162,15,8,대구 서구
163,15,9,대구 남구
164,15,10,대구 동구
165,15,11,울산 중구
166,15,12,울산 남구
167,16,2,군산
168,16,3,익산
169,16,4,대전 서구
170,16,5,무주
171,16,6,거창
172,16,7,합천
173,16,8,대구 달서
174,16,9,대구 달성
175,16,10,부산 금정
176,16,11,부산 동래
177,16,12,부산 기장
178,17,2,부안
179,17,3,김제
180,17,4,완주
181,17,5,장수
182,17,6,함양
183,17,7,창녕
184,17,8,밀양
185,17,9,부산 북구
186,17,10,부산 부산진
187,17,11,부산 연제
188,17,12,부산 해운대
189,18,1,고창
190,18,2,정읍
191,18,3,전주 덕진
192,18,4,진안
193,18,5,남원
194,18,6,진주
195,18,7,의령
196,18,8,부산 강서
197,18,9,부산 사상
198,18,10,부산 동구
199,18,11,부산 중구
200,19,1,영광
201,19,2,장성
202,19,3,전주 완산
203,19,4,임실
204,19,5,산청
205,19,6,함안
206,19,7,양산
207,19,8,창원 합포
208,19,9,부산 서구
209,19,10,부산 사하
210,19,11,부산 남구
211,20,1,함평
212,20,2,담양
213,20,3,순창
214,20,4,구례
215,20,5,하동
216,20,6,창원 의창
217,20,7,창원 성산
218,20,8,창원 진해
219,20,9,김해
220,20,10,부산 영도
221,20,11,부산 수영
222,21,0,신안
223,21,1,무안
224,21,2,광주 광산
225,21,3,곡성
226,21,4,화순
227,21,5,광양
228,21,6,사천
229,21,7,창원 회원
230,21,8,통영
231,22,0,목포
232,22,1,나주
233,22,2,광주 서구
234,22,3,광주 북구
235,22,4,순천
236,22,5,고흥
237,22,6,남해
238,22,7,고성(경남)
239,22,8,거제
240,23,0,해남
241,23,1,영암
242,23,2,광주 남구
243,23,3,광주 동구
244,23,4,여수
245,24,0,진도
246,24,1,강진
247,24,2,장흥
248,24,3,보성
249,25,2,완도
250,25,5,제주
251,26,5,서귀포
